,chargerId,gpsLat,gpsLong,type,physicalPosition,session.position,carChargeParameter.maxPower,numberStacks,average_current_all_months,polygon,number_charging_station,population_density,amenity_school_count,amenity_university_count,amenity_restaurant_count,amenity_place_of_worship_count,amenity_community_centre_count,amenity_townhall_count,amenity_parking_count,amenity_library_count,leisure_park_count,leisure_cinema_count,building_commercial_count,building_government_count,building_civic_count,building_retail_count,land_use,oneway,lanes,highway,maxspeed,node_count,edge_count
25,9005.0,42.03136484930663,11.96287806209704,CCS2_400,4.0,2,100000.0,4.0,441.09191176470586,"POLYGON ((11.959854579075989 42.02910391997423, 11.959854579075989 42.03362577863902, 11.965901545118092 42.03362577863902, 11.965901545118092 42.02910391997423, 11.959854579075989 42.02910391997423))",1,0.0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,Other,yes,1,service,130.0,0,0
26,9006.0,44.88008,11.56906,CCS2_400,4.0,2,0.0,4.0,415.9838345864662,"POLYGON ((11.565890616950973 44.877819070667606, 11.565890616950973 44.88234092933239, 11.572229383049027 44.88234092933239, 11.572229383049027 44.877819070667606, 11.565890616950973 44.877819070667606))",2,0.39853399999999994,0,0,0,0,0,0,26,0,0,0,0,0,0,2,Other,yes,2,service,130.0,0,0
27,9007.0,40.92538,14.7831,CCS2_400,4.0,2,100000.0,4.0,425.3579545454545,"POLYGON ((14.780127677581435 40.9231190706676, 14.780127677581435 40.92764092933239, 14.786072322418564 40.92764092933239, 14.786072322418564 40.9231190706676, 14.780127677581435 40.9231190706676))",2,5.768073613636363,0,0,3,0,0,0,4,0,0,0,3,0,0,2,Other,yes,2,service,80.0,12,22
28,9008.0,45.57416179644078,9.392527994720972,CCS2_400,4.0,2,0.0,4.0,460.82124999999996,"POLYGON ((9.389319673925291 45.57190086710838, 9.389319673925291 45.57642272577317, 9.395736315516652 45.57642272577317, 9.395736315516652 45.57190086710838, 9.389319673925291 45.57190086710838))",1,0.05209312025316447,0,0,1,0,0,0,2,0,0,0,2,0,0,0,commercial,yes,1,service,61.0,2,1
29,9009.0,43.99436,12.61855,CCS2_400,4.0,2,0.0,4.0,430.5135135135135,"POLYGON ((12.615428298008839 43.99209907066761, 12.615428298008839 43.996620929332394, 12.621671701991163 43.996620929332394, 12.621671701991163 43.99209907066761, 12.615428298008839 43.99209907066761))",1,2.564453837209302,0,0,0,0,0,0,8,0,1,0,0,0,0,0,residential,yes,3,service,103.33333333333333,13,28
30,9010.0,45.32151,9.37723,CCS2_400,1.0,1,214000.0,4.0,475.84806034482756,"POLYGON ((9.374036017451555 45.31924907066761, 9.374036017451555 45.3237709293324, 9.380423982548447 45.3237709293324, 9.380423982548447 45.31924907066761, 9.374036017451555 45.31924907066761))",1,0.097826,0,0,1,0,0,0,2,0,0,0,0,0,0,1,Other,yes,3,service,130.0,2,1
31,9087.0,42.5483537,14.1012901,CCS2_400,4.0,2,0.0,4.0,448.9629464285714,"POLYGON ((14.098241699247257 42.546092770667606, 14.098241699247257 42.550614629332394, 14.104338500752743 42.550614629332394, 14.104338500752743 42.546092770667606, 14.098241699247257 42.546092770667606))",1,2.482992083333334,0,0,0,0,0,0,2,0,0,0,0,0,0,0,residential,yes,2,track,80.0,3,4
32,9088.0,42.53072,14.12426,CCS2_400,1.0,1,0.0,4.0,451.67086894586896,"POLYGON ((14.121212460014323 42.52845907066761, 14.121212460014323 42.532980929332396, 14.127307539985676 42.532980929332396, 14.127307539985676 42.52845907066761, 14.121212460014323 42.52845907066761))",2,1.6006220948275862,0,0,2,0,0,0,14,0,0,0,2,0,0,0,residential,yes,1,service,52.68292682926829,4,6
33,9218.0,43.62697,13.33526,CCS2_400,4.0,2,0.0,4.0,480.12777777777774,"POLYGON ((13.332157441834914 43.624709070667606, 13.332157441834914 43.629230929332394, 13.338362558165086 43.629230929332394, 13.338362558165086 43.624709070667606, 13.332157441834914 43.624709070667606))",1,0.45908673333333333,0,0,2,0,0,0,9,0,0,0,0,0,0,0,Other,yes,3,service,130.0,0,0
34,9219.0,43.62697,13.33516,CCS2_400,1.0,1,0.0,4.0,443.4708823529412,"POLYGON ((13.332057441834914 43.624709070667606, 13.332057441834914 43.629230929332394, 13.338262558165086 43.629230929332394, 13.338262558165086 43.624709070667606, 13.332057441834914 43.624709070667606))",1,0.45908673333333333,0,0,2,0,0,0,9,0,0,0,0,0,0,0,Other,yes,3,service,130.0,0,0
35,9262.0,40.92542,14.78317,CCS2_400,4.0,2,0.0,4.0,467.24369747899163,"POLYGON ((14.78019767578234 40.92315907066761, 14.78019767578234 40.927680929332396, 14.78614232421766 40.927680929332396, 14.78614232421766 40.92315907066761, 14.78019767578234 40.92315907066761))",2,5.868314502347418,0,0,3,0,0,0,4,0,0,0,3,0,0,2,Other,yes,2,service,80.0,14,26
36,9264.0,43.99432,12.61851,CCS2_400,4.0,2,0.0,4.0,462.1458041958042,"POLYGON ((12.615388300113004 43.99205907066761, 12.615388300113004 43.996580929332396, 12.621631699886997 43.996580929332396, 12.621631699886997 43.99205907066761, 12.615388300113004 43.99205907066761))",1,2.8485534295302015,0,0,0,0,0,0,8,0,1,0,0,0,0,0,residential,yes,3,service,82.0,13,28
37,9466.0,43.65052,11.46448,CCS2_400,4.0,2,230000.0,4.0,438.90550595238096,"POLYGON ((11.461376225566868 43.648259070667606, 11.461376225566868 43.652780929332394, 11.467583774433132 43.652780929332394, 11.467583774433132 43.648259070667606, 11.461376225566868 43.648259070667606))",2,1.0856003157894736,0,0,1,0,0,0,2,0,0,0,0,0,0,0,residential,yes,1,service,63.333333333333336,0,0
38,9725.0,44.28767509785708,8.441156121269197,CCS2_400,4.0,2,250000.0,4.0,409.0602083333333,"POLYGON ((8.438018871783127 44.28541416852469, 8.438018871783127 44.289936027189476, 8.444293370755267 44.289936027189476, 8.444293370755267 44.28541416852469, 8.438018871783127 44.28541416852469))",1,0.5582277333333333,0,0,1,2,0,0,5,0,0,0,0,0,0,0,commercial,yes,1,motorway_link,51.132075471698116,12,12
