,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,civic_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
629,"POLYGON ((-78950.90188272519 5015500.206560388, -78987.69229434012 5015006.406556608, -79486.94874881196 5015043.602196931, -79450.15786130587 5015537.405037456, -78950.90188272519 5015500.206560388))",0,[],7.900492990196078,residential,20,36,0.0947368421052631,1,0,0,0,0,0,3,0,2,0,0,0,0,Yes,"{'tertiary', 'residential', 'tertiary_link'}",2.1923076923076925,39.629629629629626,Turin
630,"POLYGON ((-78987.69229434012 5015006.406556608, -79024.47990008944 5014512.606082254, -79523.7368304513 5014549.798885598, -79486.94874881196 5015043.602196931, -78987.69229434012 5015006.406556608))",2,"[[<POINT (7.647 45.047)>], [<POINT (7.646 45.047)>]]",18.74777204046243,residential,35,73,0.061344537815126,0,0,4,0,0,0,0,0,0,2,0,0,4,Yes,"{'tertiary', 'residential', 'tertiary_link'}",1.898876404494382,50.0,Turin
631,"POLYGON ((-79024.47990008944 5014512.606082254, -79061.2646997436 5014018.805137324, -79560.52210599277 5014055.995103462, -79523.7368304513 5014549.798885598, -79024.47990008944 5014512.606082254))",2,"[[<POINT (7.641 45.047)>], [<POINT (7.642 45.046)>]]",18.33795059322034,residential,55,118,0.0397306397306397,2,0,0,1,0,0,0,0,1,0,0,0,4,Yes,"{'secondary', 'secondary_link', 'tertiary', 'residential', 'tertiary_link'}",1.968503937007874,48.796992481203006,Turin
632,"POLYGON ((-79061.2646997436 5014018.805137324, -79098.04669307289 5013525.003721826, -79597.30457520764 5013562.19085052, -79560.52210599277 5014055.995103462, -79061.2646997436 5014018.805137324))",0,[],20.863130164383563,residential,25,41,0.0683333333333333,1,0,1,0,0,0,4,0,1,0,0,0,1,Yes,"{'tertiary', 'residential', 'secondary'}",1.4666666666666666,45.0,Turin
633,"POLYGON ((-79098.04669307289 5013525.003721826, -79134.82587984798 5013031.201835756, -79634.08423786657 5013068.386126774, -79597.30457520764 5013562.19085052, -79098.04669307289 5013525.003721826))",0,[],18.67898203272727,Other,34,68,0.0606060606060606,0,0,1,0,0,0,1,0,0,2,0,0,1,Yes,"{'primary', 'residential', 'secondary'}",2.1785714285714284,50.0,Turin
634,"POLYGON ((-79134.82587984798 5013031.201835756, -79171.60225983919 5012537.399479121, -79670.8610937394 5012574.580932234, -79634.08423786657 5013068.386126774, -79134.82587984798 5013031.201835756))",2,"[[<POINT (7.643 45.033)>], [<POINT (7.644 45.031)>]]",3.252941956521739,Other,32,58,0.0584677419354838,1,0,1,1,0,0,0,0,0,1,3,0,0,Yes,"{'primary', 'tertiary', 'residential', 'secondary'}",2.8,44.22222222222222,Turin
635,"POLYGON ((-79171.60225983919 5012537.399479121, -79208.37583281763 5012043.596651919, -79707.63514259772 5012080.775266897, -79670.8610937394 5012574.580932234, -79171.60225983919 5012537.399479121))",2,"[[<POINT (7.645 45.025)>], [<POINT (7.645 45.029)>]]",13.844410725663716,Other,20,50,0.131578947368421,2,0,2,0,0,0,2,0,2,0,0,0,1,Yes,"{'residential', 'secondary', 'unclassified'}",2.230769230769231,40.76923076923077,Turin
636,"POLYGON ((-79208.37583281763 5012043.596651919, -79245.14659855317 5011549.793354155, -79744.40638421138 5011586.96913076, -79707.63514259772 5012080.775266897, -79208.37583281763 5012043.596651919))",2,"[[<POINT (7.647 45.023)>], [<POINT (7.643 45.022)>]]",17.098415653846153,Other,32,57,0.0574596774193548,4,0,2,1,0,0,12,0,1,1,0,0,4,Yes,"{'residential', 'secondary', 'unclassified'}",1.4074074074074074,42.22222222222222,Turin
637,"POLYGON ((-79245.14659855317 5011549.793354155, -79281.91455681692 5011055.989585828, -79781.17481835105 5011093.162523831, -79744.40638421138 5011586.96913076, -79245.14659855317 5011549.793354155))",1,[[<POINT (7.648 45.018)>]],11.465436917874396,Other,24,38,0.0688405797101449,0,0,0,0,0,0,1,0,0,2,0,0,0,Yes,"{'residential', 'secondary'}",2.0,41.81818181818182,Turin
638,"POLYGON ((-79281.91455681692 5011055.989585828, -79318.67970737955 5010562.1853469405, -79817.94044478761 5010599.355446112, -79781.17481835105 5011093.162523831, -79281.91455681692 5011055.989585828))",0,[],0.112095,Other,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,No,,,,Turin
639,"POLYGON ((-79318.67970737955 5010562.1853469405, -79346.49555923603 5010188.556562682, -79356.44178248302 5010187.965399769, -79384.34856644447 5010184.037726062, -79396.07692283101 5010179.507477599, -79406.68706646306 5010177.653052312, -79412.43925052823 5010172.958306925, -79458.12629012787 5010157.917963219, -79494.5642017913 5010121.289443629, -79507.53230001428 5010114.061052899, -79511.32516166335 5010111.94300018, -79515.87085708545 5010109.4120165305, -79518.09782942792 5010108.170341157, -79538.62181348202 5010122.454371855, -79549.7151385392 5010114.7861130545, -79564.99292309233 5010108.2838912485, -79577.19956933637 5010104.088808085, -79585.80266923038 5010103.854810723, -79640.35936625069 5010113.875548819, -79647.64901796263 5010117.845344797, -79656.20414998732 5010104.210577364, -79664.26558982267 5010091.370825345, -79674.82204246742 5010095.504475402, -79706.20100682671 5010107.77822089, -79797.32808400912 5010123.603581648, -79820.42020292522 5010126.989215024, -79851.95075906301 5010142.521558642, -79817.94044478761 5010599.355446112, -79318.67970737955 5010562.1853469405))",0,[],0.2702724363636363,Other,3,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,No,{'tertiary'},2.0,30.0,Turin
640,"POLYGON ((-78483.16975780833 5021774.776393333, -78478.68328166485 5021773.7819740055, -78460.06115011801 5021770.387764589, -78436.10976939986 5021767.5928479, -78426.0215021522 5021767.846560463, -78367.74720781215 5021773.07013172, -78336.94913593924 5021774.286932465, -78320.17661923135 5021773.04484268, -78300.79937677865 5021769.58207742, -78288.23912679579 5021767.638620943, -78160.81346513727 5021754.613924752, -78106.416741536 5021760.115804392, -77981.26305585913 5021773.20374419, -78009.95076677296 5021388.537881374, -78509.19816936529 5021425.769900237, -78483.16975780833 5021774.776393333))",0,[],2.960158548780488,Other,12,21,0.1590909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Turin
