geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
"POLYGON ((495311.9819818959 4139545.6966078766, 495311.98198189586 4139053.5336053083, 495300.4562323142 4139053.5336053083, 495291.41006581887 4139059.1123872166, 495253.33262017457 4139089.365309016, 495214.97041461745 4139131.9108088654, 495196.0974366192 4139173.125056854, 495174.7439738943 4139240.7446955764, 495126.4119462434 4139502.1937449933, 495105.86449040734 4139545.6966078775, 495311.9819818959 4139545.6966078766))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495311.98198189586 4139053.5336053083, 495311.98198189586 4139046.4256614856, 495300.4562323142 4139053.5336053083, 495311.98198189586 4139053.5336053083))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495311.9819818959 4142099.97593748, 495330.7000811387 4142128.4293833077, 495375.30306080234 4142211.044710637, 495387.9206883531 4142244.652941776, 495416.2875564268 4142311.6680501024, 495423.7798500693 4142324.932518693, 495432.36141419195 4142340.115682663, 495447.19118105003 4142358.7900948157, 495462.5734315002 4142368.566738175, 495482.9894284783 4142393.8946577474, 495501.8761996567 4142422.0080803423, 495529.1501996572 4142483.1886627893, 495533.82453268074 4142498.6746232957, 495805.7884189954 4142498.674623296, 495805.7884189955 4142006.5116207264, 495311.98198189604 4142006.511620728, 495311.9819818959 4142099.97593748))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495533.82453268074 4142498.6746232957, 495534.4503190759 4142500.747839592, 495537.9936941352 4142525.5857129586, 495543.0453741576 4142541.8913918287, 495547.8352401829 4142548.4121856396, 495562.642930235 4142560.030949081, 495581.8825146829 4142570.6267294795, 495545.7372965456 4142894.1399654467, 495534.93498932524 4142990.8376258663, 495805.78841899545 4142990.8376258663, 495805.7884189954 4142498.674623296, 495533.82453268074 4142498.6746232957))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495534.93498932524 4142990.8376258663, 495534.12388389546 4142998.0982967396, 495518.18198915233 4143014.6593124336, 495507.21114630677 4143029.553557696, 495480.04024278646 4143122.9476621686, 495441.51442824374 4143255.0777402804, 495438.3754286766 4143274.0282627633, 495445.4782584933 4143288.5355267916, 495462.0814479794 4143317.937063929, 495489.02603946853 4143347.399598989, 495514.166006987 4143377.295864723, 495533.79588724294 4143393.2609036905, 495560.9403961976 4143433.6069290107, 495514.2866471545 4143483.000628435, 495805.7884189954 4143483.000628435, 495805.78841899545 4142990.8376258663, 495534.93498932524 4142990.8376258663))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495514.2866471545 4143483.000628435, 495513.0912319591 4143484.2662497433, 495494.81065020955 4143492.9739227947, 495449.7543547859 4143537.61907296, 495402.184731521 4143547.474589743, 495370.27223423886 4143539.981507314, 495346.41519752634 4143526.382262721, 495338.4668752211 4143550.172567823, 495311.9819818959 4143565.519732853, 495311.98198189586 4143707.568315138, 495320.27774870844 4143721.2324412535, 495324.0336150155 4143730.4052014425, 495341.13134172524 4143759.1073076543, 495353.5302371452 4143769.240447865, 495412.72883097094 4143819.6971761365, 495421.0097770746 4143821.7894196, 495430.9566844803 4143829.228142317, 495456.62950861553 4143849.02827843, 495464.63806862006 4143854.5709970207, 495458.78583150933 4143861.452561178, 495445.59391262906 4143856.52285697, 495452.3108058272 4143926.6231823224, 495458.1139973122 4143975.1636310066, 495805.78841899533 4143975.1636310057, 495805.7884189954 4143483.000628435, 495514.2866471545 4143483.000628435))",0,[],0.0584789999999999,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495458.1139973122 4143975.1636310066, 495471.57608742034 4144087.766479929, 495475.10308906937 4144132.2077812077, 495470.321151544 4144187.54806702, 495459.43736738764 4144294.3131394563, 495451.91834938317 4144390.8475846075, 495450.02113881666 4144431.564216737, 495513.33816758165 4144419.703510611, 495643.19109254 4144393.363636099, 495666.0034113807 4144393.7844159356, 495732.0783113721 4144394.3826891105, 495755.0758545949 4144393.782954495, 495763.0494429018 4144453.7539679566, 495764.6235626527 4144467.326633575, 495805.7884189954 4144467.3266335754, 495805.78841899533 4143975.1636310057, 495458.1139973122 4143975.1636310066))",0,[],0.0584789999999999,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495764.6235626527 4144467.326633575, 495770.63649266184 4144519.172427607, 495779.7616104642 4144582.8816193803, 495781.57021582406 4144591.1791432616, 495787.2367175339 4144619.8103317963, 495804.0536278349 4144694.8539191573, 495805.78841899557 4144701.8831795054, 495805.7884189954 4144467.3266335754, 495764.6235626527 4144467.326633575))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.7884189955 4142006.5116207264, 495805.78841899545 4141514.3486181586, 495311.98198189604 4141514.3486181567, 495311.98198189604 4142006.511620728, 495805.7884189955 4142006.5116207264))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.78841899545 4141514.3486181586, 495805.7884189954 4141022.185615586, 495311.98198189604 4141022.1856155875, 495311.98198189604 4141514.3486181567, 495805.78841899545 4141514.3486181586))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.7884189954 4141022.185615586, 495805.7884189954 4140530.022613017, 495311.9819818959 4140530.022613017, 495311.98198189604 4141022.1856155875, 495805.7884189954 4141022.185615586))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.7884189954 4140530.022613017, 495805.78841899533 4140037.8596104467, 495311.98198189604 4140037.8596104467, 495311.9819818959 4140530.022613017, 495805.7884189954 4140530.022613017))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.78841899533 4140037.8596104467, 495805.7884189954 4139545.6966078775, 495311.9819818959 4139545.6966078766, 495311.98198189604 4140037.8596104467, 495805.78841899533 4140037.8596104467))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.7884189954 4139545.6966078775, 495805.78841899545 4139053.533605309, 495311.98198189586 4139053.5336053083, 495311.9819818959 4139545.6966078766, 495805.7884189954 4139545.6966078775))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.78841899545 4139053.533605309, 495805.78841899533 4138561.370602737, 495762.9402474474 4138561.370602737, 495727.20446861145 4138623.5909563345, 495611.70541018725 4138832.3192387084, 495593.8842855744 4138859.032057726, 495540.7310293531 4138905.355844962, 495311.98198189586 4139046.4256614856, 495311.98198189586 4139053.5336053083, 495805.78841899545 4139053.533605309))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.78841899533 4138561.370602737, 495805.78841899545 4138486.554280191, 495795.65727000794 4138492.0027528773, 495784.96250950964 4138523.027155998, 495762.9402474474 4138561.370602737, 495805.78841899533 4138561.370602737))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.78841899557 4144701.8831795054, 495812.7128279303 4144729.940431729, 495816.7165781279 4144741.5429259664, 495835.7838362419 4144789.7042778567, 495854.35386292386 4144834.4489182024, 495858.54541356 4144850.4113514754, 495859.69282990595 4144863.357683398, 495858.9132422629 4144878.6569381594, 495849.53469009075 4144908.050074406, 495829.7435553342 4144959.4896361455, 496299.594856095 4144959.489636146, 496299.59485609503 4144467.326633575, 495805.7884189954 4144467.3266335754, 495805.78841899557 4144701.8831795054))",0,[],0.05847899999999991,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495829.7435553342 4144959.4896361455, 495827.0186469081 4144966.5720039303, 495815.21024098946 4145000.3929768656, 495813.15539427876 4145012.2647788525, 495812.1569087545 4145031.7799391686, 495810.0644128175 4145074.293882032, 495808.12938276114 4145113.3130825185, 495809.5350946896 4145147.349318429, 495809.5525936786 4145199.7360289884, 495817.0880749361 4145217.338708087, 495836.4780922578 4145258.6991997077, 495842.10880902276 4145270.0679245596, 495844.5013156548 4145279.1306777583, 495845.08838166745 4145303.559774287, 495843.29553842143 4145326.4257788435, 495836.0232075985 4145357.249050412, 495828.9243508085 4145381.1494722976, 495816.5452549852 4145404.5311238444, 495809.9632942035 4145418.4687265246, 495805.78841899533 4145425.5768081895, 495805.78841899557 4145451.6526387157, 496299.59485609503 4145451.652638715, 496299.594856095 4144959.489636146, 495829.7435553342 4144959.4896361455))",0,[],0.035602,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.78841899557 4145451.6526387157, 495805.78841899545 4145943.815641286, 496299.5948560951 4145943.815641284, 496299.59485609503 4145451.652638715, 495805.78841899557 4145451.6526387157))",0,[],0.018937234042553194,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.78841899545 4145943.815641286, 495805.78841899533 4146435.978643853, 496230.21671609074 4146435.9786438546, 496238.7552156814 4146429.732744445, 496255.96822211373 4146419.418477298, 496286.22251595365 4146403.5956979715, 496299.59485609515 4146396.9738682685, 496299.5948560951 4145943.815641284, 495805.78841899545 4145943.815641286))",0,[],0.00833920720720721,Other,0,0,0.0,0,0,0,0,0,0,3,1,0,0,0,0,No,None,,,Catania
"POLYGON ((495805.78841899533 4146435.978643853, 495805.7884189955 4146545.005487748, 495869.722369662 4146575.0086311633, 495927.9402697665 4146602.0054472554, 495941.25184793887 4146607.9343493846, 495956.09249191906 4146612.320435886, 495979.5378071781 4146617.7008693838, 495995.9601779211 4146619.7453864417, 496004.97136883263 4146620.184827623, 496013.8229607312 4146619.7368185706, 496067.5443830172 4146620.621006741, 496087.49331045337 4146618.9252931355, 496107.9377370807 4146617.8395770076, 496122.4378011294 4146612.685103323, 496138.1744284283 4146604.3571391753, 496148.9496278409 4146594.8555117366, 496161.99332514405 4146557.0959167583, 496178.9759634436 4146508.029544435, 496194.06011913443 4146464.6332148546, 496207.027625431 4146452.8563522007, 496212.4555470453 4146448.9709118837, 496230.21671609074 4146435.9786438546, 495805.78841899533 4146435.978643853))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.59485609503 4144467.326633575, 496299.5948560949 4143975.1636310057, 495805.78841899533 4143975.1636310057, 495805.7884189954 4144467.3266335754, 496299.59485609503 4144467.326633575))",0,[],0.05847899999999991,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.5948560949 4143975.1636310057, 496299.59485609503 4143483.0006284364, 495805.7884189954 4143483.000628435, 495805.78841899533 4143975.1636310057, 496299.5948560949 4143975.1636310057))",0,[],0.058478999999999906,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.59485609503 4143483.0006284364, 496299.594856095 4142990.8376258668, 495805.78841899545 4142990.8376258663, 495805.7884189954 4143483.000628435, 496299.59485609503 4143483.0006284364))",0,[],0.0584789999999999,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.594856095 4142990.8376258668, 496299.59485609503 4142498.6746232947, 495805.7884189954 4142498.674623296, 495805.78841899545 4142990.8376258663, 496299.594856095 4142990.8376258668))",0,[],0.01169579999999998,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.59485609503 4142498.6746232947, 496299.59485609503 4142006.5116207274, 495805.7884189955 4142006.5116207264, 495805.7884189954 4142498.674623296, 496299.59485609503 4142498.6746232947))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.59485609503 4142006.5116207274, 496299.594856095 4141514.348618157, 495805.78841899545 4141514.3486181586, 495805.7884189955 4142006.5116207264, 496299.59485609503 4142006.5116207274))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.594856095 4141514.348618157, 496299.594856095 4141022.1856155875, 495805.7884189954 4141022.185615586, 495805.78841899545 4141514.3486181586, 496299.594856095 4141514.348618157))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.594856095 4141022.1856155875, 496299.59485609503 4140530.022613017, 495805.7884189954 4140530.022613017, 495805.7884189954 4141022.185615586, 496299.594856095 4141022.1856155875))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.59485609503 4140530.022613017, 496299.59485609503 4140037.8596104467, 495805.78841899533 4140037.8596104467, 495805.7884189954 4140530.022613017, 496299.59485609503 4140530.022613017))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.59485609503 4140037.8596104467, 496299.594856095 4139545.6966078775, 495805.7884189954 4139545.6966078775, 495805.78841899533 4140037.8596104467, 496299.59485609503 4140037.8596104467))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.594856095 4139545.6966078775, 496299.594856095 4139053.5336053083, 495805.78841899545 4139053.533605309, 495805.7884189954 4139545.6966078775, 496299.594856095 4139545.6966078775))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.594856095 4139053.5336053083, 496299.59485609503 4138561.3706027386, 495805.78841899533 4138561.370602737, 495805.78841899545 4139053.533605309, 496299.594856095 4139053.5336053083))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
