geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,civic_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
"POLYGON ((271839.57801268646 4625207.098579806, 272007.3984810203 4625288.143108088, 272007.39848102024 4625207.098579806, 271839.57801268646 4625207.098579806))",0,[],0.071273,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Rome
"POLYGON ((272007.39848102024 4624710.079976298, 272007.3984810203 4624213.06137279, 271511.80477426155 4624213.06137279, 271511.8047742614 4624710.079976298, 272007.39848102024 4624710.079976298))",0,[],13.142958777777778,Other,26,49,0.07538461538461538,0,0,1,0,0,0,2,0,0,0,0,0,0,Yes,"{'unclassified', 'residential', 'tertiary'}",1.775,50.0,Rome
"POLYGON ((272007.3984810203 4624213.06137279, 272007.3984810203 4623979.865988593, 272004.070135772 4623980.634571672, 271994.026235283 4623985.234065179, 271988.5633099559 4623988.587139144, 271974.9611231267 4623994.389377966, 271970.1482059031 4624000.111495939, 271961.773991652 4624007.203169814, 271950.9651647054 4624012.616290423, 271946.34917180805 4624012.7634696495, 271940.63727157516 4624013.26793429, 271935.7558597402 4624015.013046717, 271934.6802027996 4624021.227356751, 271930.8561736351 4624026.106568263, 271924.6672348239 4624028.882629155, 271917.00510623946 4624031.149917996, 271909.2119981948 4624031.3984385235, 271897.65804867394 4624006.6578240255, 271897.9028928017 4624002.848640518, 271896.157648053 4623999.291881598, 271889.97047053714 4623992.986852274, 271878.5881895209 4623966.062220088, 271897.32429396245 4623956.2502329, 271892.2167982676 4623944.119784046, 271845.0396304896 4623968.788450275, 271849.81465467694 4623979.629004824, 271868.01573913713 4623970.011843713, 271870.7426552628 4623975.893694923, 271868.54739490943 4623981.1989416815, 271872.02321498527 4623987.590432932, 271877.6226453016 4623998.438053401, 271876.6176821168 4624006.60638423, 271873.38724580465 4624013.389614356, 271876.42236983427 4624017.449869465, 271886.4439828043 4624018.942006174, 271893.0156196406 4624031.559280481, 271894.27532155125 4624037.12113229, 271894.1798455523 4624041.436848768, 271890.0529090579 4624046.737005407, 271882.6576323764 4624056.0650478415, 271869.8775099674 4624064.664527342, 271860.6387245504 4624066.57090996, 271850.16776442796 4624074.741087283, 271835.9288457434 4624082.497955978, 271800.14395237947 4624097.311249927, 271775.2748229266 4624107.196963904, 271762.2893278379 4624112.224127117, 271756.09289270814 4624114.5004013805, 271746.5887574813 4624116.437636129, 271737.8131222817 4624117.46242147, 271732.2956008412 4624117.7941282075, 271727.9535427755 4624116.610007085, 271704.951363684 4624070.738348507, 271696.63650791754 4624053.59742427, 271714.4033112816 4624043.949245602, 271708.95492075186 4624032.363315339, 271663.9979295208 4624056.128761658, 271669.5769460842 4624067.110273544, 271687.78819613194 4624057.303338139, 271714.1348576086 4624115.094797463, 271715.6117614958 4624119.371452192, 271715.5853923137 4624123.240367575, 271714.12819492747 4624124.27612775, 271698.05852954194 4624135.7041494325, 271679.4408985628 4624146.857865716, 271669.6935830773 4624150.303516824, 271660.06494820706 4624152.511609929, 271650.2223190616 4624156.882890251, 271644.16891581786 4624165.201348789, 271636.46748929966 4624172.749912388, 271618.3064738767 4624184.900702341, 271610.6688953028 4624188.1901494, 271600.51487606403 4624189.325818477, 271590.536511702 4624189.444411917, 271580.4804821072 4624187.1312772995, 271580.0005558821 4624178.621269125, 271586.49895034893 4624165.208905881, 271575.10361879517 4624159.28165822, 271570.2981134276 4624155.578175021, 271566.42479872296 4624148.999437075, 271558.093388779 4624137.083313242, 271568.36303697864 4624133.309600459, 271570.3800725926 4624126.34265767, 271565.7629634782 4624122.0218244605, 271524.80623060383 4624141.1921556955, 271522.6968589567 4624145.5277678855, 271517.65866342816 4624147.311533051, 271512.3172807304 4624145.859355986, 271511.8047742613 4624145.651550253, 271511.80477426155 4624213.06137279, 272007.3984810203 4624213.06137279))",0,[],15.935827820512818,Other,6,8,0.26666666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,Yes,"{'residential', 'tertiary'}",2.0,41.42857142857143,Rome
"POLYGON ((272007.3984810203 4625288.143108088, 272053.7595267041 4625310.531968728, 272395.439803247 4625450.545014067, 272502.99218777916 4625484.072081233, 272502.99218777905 4625207.098579806, 272007.39848102024 4625207.098579806, 272007.3984810203 4625288.143108088))",0,[],0.071273,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Rome
"POLYGON ((272502.99218777905 4625207.098579806, 272502.99218777916 4624710.079976298, 272007.39848102024 4624710.079976298, 272007.39848102024 4625207.098579806, 272502.99218777905 4625207.098579806))",0,[],8.271805390243902,Other,3,3,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Yes,{'tertiary'},2.0,50.0,Rome
"POLYGON ((272502.99218777916 4624710.079976298, 272502.99218777905 4624213.061372789, 272007.3984810203 4624213.06137279, 272007.39848102024 4624710.079976298, 272502.99218777916 4624710.079976298))",0,[],12.356635634854772,Other,22,37,0.08008658008658008,0,0,2,2,0,0,13,0,0,0,0,0,3,Yes,"{'unclassified', 'residential', 'tertiary'}",1.981818181818182,50.0,Rome
"POLYGON ((272502.99218777905 4624213.061372789, 272502.99218777916 4623716.04276928, 272499.33630249207 4623716.04276928, 272498.9535117869 4623716.632753556, 272492.15180574695 4623727.11939867, 272481.72354045045 4623737.977048774, 272469.48435029027 4623744.512985706, 272458.6698003863 4623750.29226208, 272452.7287053353 4623756.161053266, 272447.4600098198 4623763.275576899, 272442.3203242873 4623767.640579683, 272427.55993705406 4623775.268273853, 272413.3442384265 4623786.668908915, 272399.34501789155 4623791.527025372, 272387.1504901947 4623793.18217722, 272381.42087605625 4623793.920256205, 272375.921538617 4623793.784036032, 272371.6799422194 4623796.0197656145, 272366.8398387961 4623805.610494444, 272358.69243890536 4623812.260951865, 272347.7980071816 4623819.710213727, 272337.17868264567 4623825.338979723, 272328.49108260026 4623827.57175212, 272315.47547587176 4623830.109027507, 272304.0729443622 4623840.164349165, 272290.778014579 4623849.879793014, 272262.0843272537 4623864.942827006, 272251.79987947666 4623867.22654037, 272244.1023400421 4623867.605021565, 272239.7162661597 4623869.222990901, 272238.3411600905 4623872.57907499, 272235.97719476366 4623875.73323083, 272227.9055698613 4623881.8812599825, 272218.9067310091 4623886.102570478, 272212.89175425784 4623887.02771979, 272208.1436298444 4623888.779505926, 272204.4778961164 4623893.931388082, 272197.6842238725 4623897.593433899, 272190.3761473311 4623900.527158802, 272165.7719224787 4623906.479360581, 272151.5619092115 4623904.708989294, 272143.9173688628 4623902.307117431, 272137.44200565247 4623900.279265442, 272130.1542140924 4623908.814419712, 272127.8156127621 4623911.978922726, 272123.4925882588 4623913.483807363, 272115.12685290864 4623916.406848199, 272100.88972851867 4623917.705211101, 272078.96362487157 4623918.081525039, 272063.5209310084 4623882.59401616, 272057.3364196571 4623885.51430464, 272084.19590430066 4623951.904802533, 272074.88684998266 4623954.746802787, 272063.78855984437 4623956.045258643, 272051.8350071231 4623960.549911304, 272038.6915778469 4623967.94909273, 272020.8227986537 4623976.766038727, 272007.3984810203 4623979.865988593, 272007.3984810203 4624213.06137279, 272502.99218777905 4624213.061372789))",0,[],19.147864467980295,Other,27,54,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,"{'unclassified', 'residential', 'tertiary'}",1.8448275862068966,47.241379310344826,Rome
"POLYGON ((272502.99218777916 4623716.04276928, 272502.9921877791 4623713.792170079, 272502.667346371 4623713.769217418, 272500.27895397716 4623714.589887732, 272499.33630249207 4623716.04276928, 272502.99218777916 4623716.04276928))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Rome
"POLYGON ((272502.99218777916 4625484.072081233, 272604.70309536473 4625515.778197696, 272951.7150666012 4625654.035051384, 272998.585894538 4625664.470625348, 272998.58589453786 4625207.098579807, 272502.99218777905 4625207.098579806, 272502.99218777916 4625484.072081233))",0,[],0.07127300000000002,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,{'tertiary'},2.0,50.0,Rome
"POLYGON ((272998.58589453786 4625207.098579807, 272998.585894538 4624710.079976299, 272502.99218777916 4624710.079976298, 272502.99218777905 4625207.098579806, 272998.58589453786 4625207.098579807))",0,[],6.837740634146342,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Rome
