location,gpsLat,gpsLong,polygon,EV_station_counts,population,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,civic_count,retail_count,landuse,oneway_exists,average_lanes,high_way,average_maxspeed,nodes,edges,density
Location 11,45.5427892825392,9.18957908132117,"POLYGON ((9.186372551338085 45.5405283532068, 9.186372551338085 45.54505021187159, 9.192785611304256 45.54505021187159, 9.192785611304256 45.5405283532068, 9.186372551338085 45.5405283532068))",1,5.121346936507937,1,0,2,0,0,0,20,0,1,1,0,0,1,residential,yes,2.0,footway,66.66666666666667,26,48,0.0738461538461538
Location 12,41.9578508559251,12.5479545040863,"POLYGON ((12.54493451133886 41.95558992659271, 12.54493451133886 41.960111785257496, 12.55097449683374 41.960111785257496, 12.55097449683374 41.95558992659271, 12.54493451133886 41.95558992659271))",1,4.0122558914728685,1,0,0,0,0,0,5,0,0,1,0,0,0,residential,yes,1.0,service,50.0,27,43,0.0612535612535612
Location 13,45.4238615,11.873375,"POLYGON ((11.87017523186528 45.42160057066761, 11.87017523186528 45.426122429332395, 11.876574768134718 45.426122429332395, 11.876574768134718 45.42160057066761, 11.87017523186528 45.42160057066761))",1,4.7630417696793,3,0,0,1,1,0,3,0,1,0,0,1,1,residential,yes,1.0,residential,40.0,31,57,0.0612903225806451
Location 14,45.5772057974587,9.06559138730712,"POLYGON ((9.062382892595446 45.57494486812631, 9.062382892595446 45.5794667267911, 9.068799882018793 45.5794667267911, 9.068799882018793 45.57494486812631, 9.062382892595446 45.57494486812631))",1,3.8841734876033054,0,0,4,0,0,0,10,0,3,1,0,0,1,residential,yes,2.0,service,50.0,20,29,0.0763157894736842
Location 15,43.560201415122,13.5108636275027,"POLYGON ((13.507764509660669 43.55794048578961, 13.507764509660669 43.562462344454396, 13.51396274534473 43.562462344454396, 13.51396274534473 43.55794048578961, 13.507764509660669 43.55794048578961))",1,0.234339143911439,0,0,3,0,0,0,0,0,0,1,0,0,7,commercial,yes,2.0,service,50.0,12,14,0.106060606060606
Location 16,45.3930637896606,9.15013222095038,"POLYGON ((9.146934196983732 45.39080286032821, 9.146934196983732 45.395324718992995, 9.15333024491703 45.395324718992995, 9.15333024491703 45.39080286032821, 9.146934196983732 45.39080286032821))",1,0.6402553999999999,0,0,0,0,0,0,8,0,0,1,0,0,1,residential,yes,1.0,service,61.30434782608695,11,11,0.1
Location 17,45.6500079673525,8.80839790130186,"POLYGON ((8.805185238780409 45.64774703802011, 8.805185238780409 45.652268896684895, 8.81161056382331 45.652268896684895, 8.81161056382331 45.64774703802011, 8.805185238780409 45.64774703802011))",1,1.6817666462093863,0,0,2,1,0,0,11,0,0,2,0,0,4,residential,yes,2.0,service,50.0,23,39,0.0770750988142292
Location 18,45.4422563231016,9.04696847777923,"POLYGON ((9.043767666540564 45.43999539376921, 9.043767666540564 45.444517252434, 9.050169289017894 45.444517252434, 9.050169289017894 45.43999539376921, 9.043767666540564 45.43999539376921))",1,0.1231234549019607,0,0,0,0,0,0,2,0,0,0,0,0,0,commercial,yes,1.0,service,50.0,7,11,0.2619047619047619
Location 19,44.8255611421675,10.2096103215406,"POLYGON ((10.20644393739274 44.82330021283511, 10.20644393739274 44.827822071499895, 10.21277670568846 44.827822071499895, 10.21277670568846 44.82330021283511, 10.20644393739274 44.82330021283511))",1,2.929405878431372,0,0,0,1,0,0,5,0,0,0,0,0,0,residential,yes,2.0,residential,84.375,59,110,0.032144944476914
Location 20,42.460214478762,12.4183118423288,"POLYGON ((12.415267736251472 42.457953549429604, 12.415267736251472 42.46247540809439, 12.421355948406127 42.46247540809439, 12.421355948406127 42.457953549429604, 12.415267736251472 42.457953549429604))",1,0.1660269999999999,0,0,0,0,0,0,1,0,0,0,0,0,2,Other,yes,2.0,unclassified,73.0,11,19,0.1727272727272727
Location 21,41.8794377369401,12.6709682036843,"POLYGON ((12.66795191947246 41.877176807607704, 12.66795191947246 41.88169866627249, 12.67398448789614 41.88169866627249, 12.67398448789614 41.877176807607704, 12.66795191947246 41.877176807607704))",1,1.8019568,0,0,0,0,0,0,1,0,0,0,0,0,0,residential,no,2.0,residential,50.0,9,18,0.25
Location 22,44.8704541701007,10.0754476357731,"POLYGON ((10.07227878283046 44.868193240768306, 10.07227878283046 44.872715099433094, 10.07861648871574 44.872715099433094, 10.07861648871574 44.868193240768306, 10.07227878283046 44.868193240768306))",1,0.4808720178571429,0,0,0,0,0,0,0,0,0,0,0,0,0,commercial,yes,2.0,residential,43.333333333333336,3,4,0.6666666666666666
Location 23,45.6716431542405,12.1759121309309,"POLYGON ((12.172698226740335 45.669382224908105, 12.172698226740335 45.67390408357289, 12.179126035121465 45.67390408357289, 12.179126035121465 45.669382224908105, 12.172698226740335 45.669382224908105))",1,1.9717180888888888,0,0,0,0,0,0,3,0,0,0,0,0,2,residential,yes,2.0,service,50.0,26,43,0.0661538461538461
Location 24,44.907736,8.6362299,"POLYGON ((8.63305899241533 44.905475070667606, 8.63305899241533 44.909996929332394, 8.63940080758467 44.909996929332394, 8.63940080758467 44.905475070667606, 8.63305899241533 44.905475070667606))",4,2.287125682291667,0,0,6,0,0,0,11,0,0,2,0,0,9,commercial,yes,2.0,service,50.0,16,23,0.0958333333333333
Location 25,44.4241604056818,12.231005499928,"POLYGON ((12.227860934779498 44.42189947634941, 12.227860934779498 44.4264213350142, 12.2341500650765 44.4264213350142, 12.2341500650765 44.42189947634941, 12.227860934779498 44.42189947634941))",2,0.0286384838709677,0,0,2,0,0,0,10,0,0,2,0,0,3,commercial,yes,1.0,service,50.0,18,27,0.088235294117647
Location 26,45.046,9.74263888888889,"POLYGON ((9.739460326333928 45.043739070667606, 9.739460326333928 45.04826092933239, 9.745817451443854 45.04826092933239, 9.745817451443854 45.043739070667606, 9.739460326333928 45.043739070667606))",1,0.0226638309859154,0,0,0,0,0,0,5,0,0,0,0,0,0,commercial,no,2.0,residential,50.0,2,2,1.0
Location 27,45.7188526145074,11.40818773035,"POLYGON ((11.404971111823986 45.716591685175004, 11.404971111823986 45.72111354383979, 11.411404348876015 45.72111354383979, 11.411404348876015 45.716591685175004, 11.404971111823986 45.716591685175004))",1,0.5363000040322581,0,0,1,1,0,0,2,0,0,1,0,0,0,residential,yes,2.0,service,50.0,16,31,0.1291666666666666
Location 28,45.90523928,12.33474799,"POLYGON ((12.331520588674845 45.90297835066761, 12.331520588674845 45.9075002093324, 12.337975391325156 45.9075002093324, 12.337975391325156 45.90297835066761, 12.331520588674845 45.90297835066761))",1,0.647481135135135,0,0,0,0,0,0,8,0,0,7,0,0,2,residential,yes,2.0,service,57.27272727272727,21,36,0.0857142857142857
Location 29,41.6903055555555,15.3925277777778,"POLYGON ((15.389520378050426 41.6880446262231, 15.389520378050426 41.69256648488789, 15.395535177505176 41.69256648488789, 15.395535177505176 41.6880446262231, 15.389520378050426 41.6880446262231))",2,3.1310648199052133,2,0,0,1,0,0,3,0,0,0,0,0,1,commercial,yes,2.0,residential,50.0,16,34,0.1416666666666666
Location 30,40.58148,17.11315,"POLYGON ((17.110193012133017 40.579219070667605, 17.110193012133017 40.58374092933239, 17.116106987866985 40.58374092933239, 17.116106987866985 40.579219070667605, 17.110193012133017 40.579219070667605))",1,1.7701804834123225,0,0,3,0,0,0,0,0,0,1,0,0,0,commercial,yes,2.0,primary,53.125,22,38,0.0822510822510822
Location 31,41.9148955804917,12.3522324042998,"POLYGON ((12.349214444943883 41.91263465115931, 12.349214444943883 41.917156509824096, 12.355250363655717 41.917156509824096, 12.355250363655717 41.91263465115931, 12.349214444943883 41.91263465115931))",1,3.0776358697479,0,0,0,0,0,0,2,0,0,0,0,0,0,residential,yes,2.0,street_lamp,50.0,10,22,0.2444444444444444
Location 32,45.7691944444444,8.595,"POLYGON ((8.591780479575078 45.76693351511201, 8.591780479575078 45.771455373776796, 8.598219520424923 45.771455373776796, 8.598219520424923 45.76693351511201, 8.591780479575078 45.76693351511201))",1,1.3666082962962962,0,0,1,1,0,0,1,0,0,5,0,0,1,residential,no,2.0,residential,40.0,17,36,0.1323529411764706
Location 33,41.5279788847282,12.6819765865068,"POLYGON ((12.678976744445391 41.525717955395805, 12.678976744445391 41.53023981406059, 12.684976428568207 41.53023981406059, 12.684976428568207 41.525717955395805, 12.678976744445391 41.525717955395805))",1,0.8604935769230769,0,0,0,1,0,0,1,0,0,0,0,0,0,residential,no,2.0,residential,50.0,6,10,0.3333333333333333
Location 34,45.5534352466751,8.15063028616747,"POLYGON ((8.147423148821085 45.551174317342706, 8.147423148821085 45.555696176007494, 8.153837423513854 45.555696176007494, 8.153837423513854 45.551174317342706, 8.147423148821085 45.551174317342706))",1,0.2566378749999999,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,yes,2.0,track,90.0,5,4,0.2
Location 35,44.8386944444444,8.18605555555555,"POLYGON ((8.182888449769537 44.836433515112006, 8.182888449769537 44.840955373776794, 8.189222661341562 44.840955373776794, 8.189222661341562 44.836433515112006, 8.182888449769537 44.836433515112006))",1,1.2239723749999998,0,0,2,0,0,0,1,0,0,0,0,0,0,residential,yes,2.0,secondary,70.0,7,12,0.2857142857142857
Location 36,42.3366056889619,13.4611299409853,"POLYGON ((13.45809182544001 42.33434475962951, 13.45809182544001 42.3388666182943, 13.46416805653059 42.3388666182943, 13.46416805653059 42.33434475962951, 13.45809182544001 42.33434475962951))",1,0.0412036612903225,0,0,1,0,0,0,11,0,0,3,0,0,0,residential,yes,2.0,service,70.0,0,0,0.0
Location 37,44.4841080432498,7.87505469724417,"POLYGON ((7.871906902431533 44.481847113917404, 7.871906902431533 44.48636897258219, 7.878202492056808 44.48636897258219, 7.878202492056808 44.481847113917404, 7.871906902431533 44.481847113917404))",1,1.231042412621359,0,0,0,0,0,0,1,0,0,0,0,0,0,Other,yes,2.0,secondary,50.0,27,47,0.0669515669515669
Location 38,40.611355,15.729283,"POLYGON ((15.726324690501853 40.60909407066761, 15.726324690501853 40.6136159293324, 15.732241309498148 40.6136159293324, 15.732241309498148 40.60909407066761, 15.726324690501853 40.60909407066761))",1,0.4967613157894736,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,yes,2.0,motorway_link,45.21739130434783,18,30,0.0980392156862745
Location 39,45.8042277578826,12.8809576106778,"POLYGON ((12.87773606623611 45.801966828550206, 12.87773606623611 45.806488687214994, 12.88417915511949 45.806488687214994, 12.88417915511949 45.801966828550206, 12.87773606623611 45.801966828550206))",1,0.1685219047619047,0,0,1,0,0,0,2,0,0,0,0,0,0,residential,yes,2.0,service,130.0,2,1,0.5
Location 40,43.328693404477,11.5074118092531,"POLYGON ((11.50432452887022 43.32643247514461, 11.50432452887022 43.330954333809395, 11.51049908963598 43.330954333809395, 11.51049908963598 43.32643247514461, 11.50432452887022 43.32643247514461))",1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,no,2.0,service,50.0,0,0,0.0
Location 41,41.4144682,13.1707829,"POLYGON ((13.167788306030959 41.41220727066761, 13.167788306030959 41.416729129332396, 13.173777493969043 41.416729129332396, 13.173777493969043 41.41220727066761, 13.167788306030959 41.41220727066761))",1,0.4907689999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,no,2.0,unclassified,50.0,6,12,0.4
Location 42,42.9294977649138,11.2660666067337,"POLYGON ((11.262999410039201 42.927236835581404, 11.262999410039201 42.93175869424619, 11.269133803428199 42.93175869424619, 11.269133803428199 42.927236835581404, 11.262999410039201 42.927236835581404))",1,1.289237414893617,0,0,1,0,0,0,5,0,1,0,0,0,0,residential,yes,2.0,service,110.0,2,2,1.0
Location 43,44.499556,7.493194,"POLYGON ((7.490045371298344 44.497295070667604, 7.490045371298344 44.50181692933239, 7.4963426287016555 44.50181692933239, 7.4963426287016555 44.497295070667604, 7.490045371298344 44.497295070667604))",1,0.2434736026490065,0,0,1,0,0,0,1,0,1,1,0,0,0,residential,yes,1.0,service,51.53846153846154,14,21,0.1153846153846153
Location 44,44.728472,7.326139,"POLYGON ((7.322977935297821 44.7262110706676, 7.322977935297821 44.73073292933239, 7.3293000647021795 44.73073292933239, 7.3293000647021795 44.7262110706676, 7.322977935297821 44.7262110706676))",1,2.1507259933333334,0,0,0,2,0,0,5,0,1,0,0,0,0,residential,yes,2.0,residential,50.0,55,110,0.037037037037037
Location 45,44.528111,8.050278,"POLYGON ((8.04712782811725 44.52585007066761, 8.04712782811725 44.5303719293324, 8.053428171882752 44.5303719293324, 8.053428171882752 44.52585007066761, 8.04712782811725 44.52585007066761))",1,0.8978364394904458,1,0,3,0,0,0,1,0,0,0,0,0,0,commercial,yes,2.0,residential,50.0,24,48,0.0869565217391304
Location 46,44.4833333333333,11.4166666666667,"POLYGON ((11.413518913655665 44.481072404000905, 11.413518913655665 44.48559426266569, 11.419814419677735 44.48559426266569, 11.419814419677735 44.481072404000905, 11.413518913655665 44.481072404000905))",1,0.8319709090909091,0,0,0,0,0,0,1,0,0,0,0,0,0,residential,yes,2.0,motorway,73.33333333333333,2,1,0.5
Location 47,45.4867888888889,9.26396388888889,"POLYGON ((9.260760548182812 45.48452795955651, 9.260760548182812 45.4890498182213, 9.267167229594968 45.4890498182213, 9.267167229594968 45.48452795955651, 9.260760548182812 45.48452795955651))",1,3.331552613636364,0,0,0,0,0,0,6,0,2,0,0,0,3,residential,yes,1.0,service,51.851851851851855,22,29,0.0627705627705627
Location 48,45.7284916666667,8.49771111111111,"POLYGON ((8.494493937549839 45.726230737334305, 8.494493937549839 45.73075259599909, 8.500928284672382 45.73075259599909, 8.500928284672382 45.726230737334305, 8.494493937549839 45.726230737334305))",1,0.07310412,0,0,1,0,0,0,1,0,0,2,0,0,0,commercial,no,2.0,service,70.0,0,0,0.0
Location 49,45.2448666666667,11.7594138888889,"POLYGON ((11.75622421839481 45.24260573733431, 11.75622421839481 45.247127595999096, 11.762603559382992 45.247127595999096, 11.762603559382992 45.24260573733431, 11.75622421839481 45.24260573733431))",1,0.774884954887218,0,0,0,1,0,0,0,0,0,0,0,0,0,other,yes,1.0,unclassified,50.0,9,17,0.2361111111111111
Location 50,45.5040444444445,12.2354722222222,"POLYGON ((12.232267899798122 45.50178351511211, 12.232267899798122 45.5063053737769, 12.238676544646276 45.5063053737769, 12.238676544646276 45.50178351511211, 12.232267899798122 45.50178351511211))",1,2.517266858490566,0,0,2,0,0,0,8,0,0,1,0,0,0,Other,yes,1.0,service,65.0,46,85,0.0410628019323671
Location 51,45.5666666666667,10.0,"POLYGON ((9.996792107312213 45.564405737334305, 9.996792107312213 45.56892759599909, 10.003207892687787 45.56892759599909, 10.003207892687787 45.564405737334305, 9.996792107312213 45.564405737334305))",1,3.992501276712329,0,0,2,2,0,1,11,1,1,0,0,0,1,Other,yes,2.0,residential,50.0,71,132,0.0265593561368209
Location 52,44.7066805555556,10.6385305555555,"POLYGON ((10.635370681090377 44.704419626223206, 10.635370681090377 44.708941484887994, 10.641690430020622 44.708941484887994, 10.641690430020622 44.704419626223206, 10.635370681090377 44.704419626223206))",1,2.6345139244604314,0,0,3,1,0,0,14,0,0,0,0,0,1,residential,yes,2.0,service,47.43589743589744,35,59,0.0495798319327731
Location 53,45.4090861111111,11.9185305555556,"POLYGON ((11.915331624548829 45.40682518177871, 11.915331624548829 45.411347040443495, 11.921729486562372 45.411347040443495, 11.921729486562372 45.40682518177871, 11.915331624548829 45.40682518177871))",1,0.3173011856287425,0,0,1,0,0,0,2,0,0,0,0,0,0,residential,yes,2.0,service,50.0,26,38,0.0584615384615384
Location 54,44.7087972222222,10.6251972222222,"POLYGON ((10.622037232205221 44.70653629288981, 10.622037232205221 44.711058151554596, 10.628357212239179 44.711058151554596, 10.628357212239179 44.70653629288981, 10.622037232205221 44.70653629288981))",1,2.554282644518272,3,0,3,0,1,0,42,0,5,1,0,0,0,commercial,yes,2.0,service,50.0,44,75,0.0396405919661733
Location 55,44.8184638888889,10.2866805555556,"POLYGON ((10.283514561175833 44.816202959556506, 10.283514561175833 44.820724818221294, 10.289846549935367 44.820724818221294, 10.289846549935367 44.816202959556506, 10.283514561175833 44.816202959556506))",1,3.587091142857143,0,0,0,0,0,0,5,0,2,0,0,0,0,residential,yes,2.0,service,80.0,7,9,0.2142857142857142
Location 56,45.3973611111111,11.9697333333333,"POLYGON ((11.966535066165884 45.39510018177871, 11.966535066165884 45.3996220404435, 11.972931600500717 45.3996220404435, 11.972931600500717 45.39510018177871, 11.966535066165884 45.39510018177871))",1,2.0129775744680853,0,0,0,0,0,0,0,0,0,0,0,0,0,residential,no,2.0,residential,50.0,8,14,0.25
Location 57,45.51005,11.4534305555555,"POLYGON ((11.450225891248792 45.507789070667606, 11.450225891248792 45.51231092933239, 11.456635219862207 45.51231092933239, 11.456635219862207 45.507789070667606, 11.450225891248792 45.507789070667606))",1,3.1268733267326736,0,0,0,0,0,0,5,0,0,0,0,0,0,residential,yes,2.0,footway,50.0,7,12,0.2857142857142857
Location 58,44.7287277777778,10.6511638888889,"POLYGON ((10.648002810208236 44.726466848445405, 10.648002810208236 44.73098870711019, 10.654324967569565 44.73098870711019, 10.654324967569565 44.726466848445405, 10.648002810208236 44.726466848445405))",1,0.6435337822580645,0,0,1,0,0,0,11,0,0,0,0,0,0,commercial,yes,1.0,service,50.0,32,58,0.0584677419354838
Location 59,44.3261888888889,11.9070833333333,"POLYGON ((11.903944024747151 44.32392795955651, 11.903944024747151 44.328449818221294, 11.91022264191945 44.328449818221294, 11.91022264191945 44.32392795955651, 11.903944024747151 44.32392795955651))",1,0.2466531612903225,0,0,0,0,0,0,3,0,2,0,0,0,0,commercial,yes,2.0,service,77.5,15,22,0.1047619047619047
Location 60,45.5030277777778,12.2354111111111,"POLYGON ((12.232206846552842 45.50076684844541, 12.232206846552842 45.505288707110196, 12.238615375669358 45.505288707110196, 12.238615375669358 45.50076684844541, 12.232206846552842 45.50076684844541))",1,2.158439568627452,0,0,2,0,0,0,9,0,0,1,0,0,0,Other,yes,1.0,service,60.0,47,77,0.0356151711378353
Location 61,45.4240961,11.9266731,"POLYGON ((11.92347331856832 45.421835170667606, 11.92347331856832 45.426357029332394, 11.929872881431681 45.426357029332394, 11.929872881431681 45.421835170667606, 11.92347331856832 45.421835170667606))",1,0.7475284999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,residential,yes,3.0,trunk_link,86.29629629629629,6,10,0.3333333333333333
Location 62,45.4833333333333,12.1166666666667,"POLYGON ((12.113463522449878 45.481072404000905, 12.113463522449878 45.48559426266569, 12.11986981088352 45.48559426266569, 12.11986981088352 45.481072404000905, 12.113463522449878 45.481072404000905))",1,0.491869904255319,0,0,0,0,0,0,0,0,1,0,0,0,0,residential,yes,1.0,secondary,35.0,9,12,0.1666666666666666
Location 63,45.4833333333333,12.1166666666667,"POLYGON ((12.113463522449878 45.481072404000905, 12.113463522449878 45.48559426266569, 12.11986981088352 45.48559426266569, 12.11986981088352 45.481072404000905, 12.113463522449878 45.481072404000905))",1,0.491869904255319,0,0,0,0,0,0,0,0,1,0,0,0,0,residential,yes,1.0,secondary,35.0,9,12,0.1666666666666666
Location 64,45.5104083333333,12.22195,"POLYGON ((12.21874531529077 45.50814740400091, 12.21874531529077 45.512669262665696, 12.22515468470923 45.512669262665696, 12.22515468470923 45.50814740400091, 12.21874531529077 45.50814740400091))",1,0.1319870684931506,0,0,0,0,0,0,1,0,0,0,0,0,0,commercial,yes,2.0,service,50.0,14,20,0.1098901098901098
Location 65,45.5182591,12.2339248,"POLYGON ((12.230719668192878 45.51599817066761, 12.230719668192878 45.520520029332395, 12.237129931807123 45.520520029332395, 12.237129931807123 45.51599817066761, 12.230719668192878 45.51599817066761))",1,0.7693360267379679,0,0,1,0,0,0,6,0,0,0,0,0,1,residential,yes,2.0,service,26.0,25,33,0.055
Location 66,45.3966166666667,10.9918944444444,"POLYGON ((10.988696219411692 45.39435573733431, 10.988696219411692 45.398877595999096, 10.995092669477108 45.398877595999096, 10.995092669477108 45.39435573733431, 10.988696219411692 45.39435573733431))",1,0.2946734166666666,0,0,0,0,0,0,0,0,0,0,0,0,0,residential,yes,2.0,trunk_link,61.333333333333336,6,9,0.3
Location 67,45.6524805555556,12.220275,"POLYGON ((12.217062195645516 45.650219626223205, 12.217062195645516 45.65474148488799, 12.223487804354486 45.65474148488799, 12.223487804354486 45.650219626223205, 12.217062195645516 45.650219626223205))",1,1.178911609090909,1,0,0,0,0,0,0,0,0,0,0,0,0,Other,yes,2.0,residential,70.0,2,1,0.5
Location 68,44.6761027777778,10.6018527777778,"POLYGON ((10.598694571174182 44.673841848445406, 10.598694571174182 44.678363707110194, 10.605010984381419 44.678363707110194, 10.605010984381419 44.673841848445406, 10.598694571174182 44.673841848445406))",1,2.970683765957447,0,0,0,0,0,0,4,0,3,0,0,0,0,residential,yes,2.0,residential,50.0,30,45,0.0517241379310344
Location 69,44.6761027777778,10.6018527777778,"POLYGON ((10.598694571174182 44.673841848445406, 10.598694571174182 44.678363707110194, 10.605010984381419 44.678363707110194, 10.605010984381419 44.673841848445406, 10.598694571174182 44.673841848445406))",1,2.970683765957447,0,0,0,0,0,0,4,0,3,0,0,0,0,residential,yes,2.0,residential,50.0,30,45,0.0517241379310344
Location 70,45.4670886,8.6231705,"POLYGON ((8.61996827900968 45.4648276706676, 8.61996827900968 45.46934952933239, 8.626372720990322 45.46934952933239, 8.626372720990322 45.4648276706676, 8.61996827900968 45.4648276706676))",1,2.575811094444445,0,0,0,0,0,0,0,0,1,0,0,0,0,commercial,yes,2.0,footway,50.0,8,9,0.1607142857142857
Location 71,44.5662027777778,11.3549333333333,"POLYGON ((11.351781099303018 44.5639418484454, 11.351781099303018 44.56846370711019, 11.358085567363581 44.56846370711019, 11.358085567363581 44.5639418484454, 11.351781099303018 44.5639418484454))",1,1.0208960655737704,0,0,2,0,1,0,3,0,1,0,0,0,0,residential,yes,2.0,service,44.285714285714285,6,8,0.2666666666666666
Location 72,45.5502888888889,12.2947777777778,"POLYGON ((12.291570819969866 45.54802795955651, 12.291570819969866 45.552549818221294, 12.297984735585732 45.552549818221294, 12.297984735585732 45.54802795955651, 12.291570819969866 45.54802795955651))",1,3.690635452554744,0,0,0,0,0,0,6,0,0,0,0,0,0,residential,yes,1.0,tertiary,50.0,26,42,0.0646153846153846
Location 73,44.8443333333333,11.6511638888889,"POLYGON ((11.647996473109732 44.84207240400091, 11.647996473109732 44.8465942626657, 11.65433130466807 44.8465942626657, 11.65433130466807 44.84207240400091, 11.647996473109732 44.84207240400091))",1,1.283093588652482,0,0,0,0,0,0,9,0,1,0,0,0,0,Other,yes,2.0,service,50.0,10,12,0.1333333333333333
Location 74,45.4091194444444,9.17494166666666,"POLYGON ((9.171742733772058 45.406858515112006, 9.171742733772058 45.411380373776794, 9.178140599561262 45.411380373776794, 9.178140599561262 45.406858515112006, 9.171742733772058 45.406858515112006))",1,7.833132868181818,2,0,0,1,0,0,3,0,1,1,0,0,1,residential,yes,3.0,service,46.5625,6,9,0.3
Location 75,44.7707555555556,10.7682722222222,"POLYGON ((10.765108844148841 44.76849462622321, 10.765108844148841 44.773016484888, 10.771435600295558 44.773016484888, 10.771435600295558 44.76849462622321, 10.765108844148841 44.76849462622321))",1,4.040563941704035,0,0,1,0,0,0,1,0,2,0,0,0,0,residential,yes,2.0,service,49.44444444444444,35,64,0.053781512605042
Location 76,45.4833333333333,11.9,"POLYGON ((11.89679685578318 45.481072404000905, 11.89679685578318 45.48559426266569, 11.903203144216821 45.48559426266569, 11.903203144216821 45.481072404000905, 11.89679685578318 45.481072404000905))",1,1.4771893901515152,2,0,2,1,0,0,4,0,0,0,0,0,0,commercial,yes,2.0,secondary,35.0,43,81,0.0448504983388704
