,location,gpsLat,gpsLong,polygon,EV_station_counts,population,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,cinema_count,commercial_count,government_count,civic_count,retail_count,landuse,oneway_exists,average_lanes,high_way,average_maxspeed,nodes,edges,density
10,Location 11,45.5427892825392,9.18957908132117,"POLYGON ((9.186372551338085 45.5405283532068, 9.186372551338085 45.54505021187159, 9.192785611304256 45.54505021187159, 9.192785611304256 45.5405283532068, 9.186372551338085 45.5405283532068))",1,5.121346936507937,1,0,2,0,0,0,20,0,1,0,1,0,0,1,residential,yes,2,footway,66.66666666666667,26,48,0.07384615384615385
11,Location 12,41.9578508559251,12.5479545040863,"POLYGON ((12.54493451133886 41.95558992659271, 12.54493451133886 41.960111785257496, 12.55097449683374 41.960111785257496, 12.55097449683374 41.95558992659271, 12.54493451133886 41.95558992659271))",1,4.0122558914728685,1,0,0,0,0,0,5,0,0,0,1,0,0,0,residential,yes,1,service,50.0,27,43,0.06125356125356125
12,Location 13,45.4238615,11.873375,"POLYGON ((11.87017523186528 45.42160057066761, 11.87017523186528 45.426122429332395, 11.876574768134718 45.426122429332395, 11.876574768134718 45.42160057066761, 11.87017523186528 45.42160057066761))",1,4.7630417696793,3,0,0,1,1,0,3,0,1,0,0,0,1,1,residential,yes,1,residential,40.0,31,57,0.06129032258064516
13,Location 14,45.5772057974587,9.06559138730712,"POLYGON ((9.062382892595446 45.57494486812631, 9.062382892595446 45.5794667267911, 9.068799882018793 45.5794667267911, 9.068799882018793 45.57494486812631, 9.062382892595446 45.57494486812631))",1,3.8841734876033054,0,0,4,0,0,0,10,0,3,0,1,0,0,1,residential,yes,2,service,,20,29,0.07631578947368421
14,Location 15,43.560201415122,13.5108636275027,"POLYGON ((13.507764509660669 43.55794048578961, 13.507764509660669 43.562462344454396, 13.51396274534473 43.562462344454396, 13.51396274534473 43.55794048578961, 13.507764509660669 43.55794048578961))",1,0.23433914391143906,0,0,3,0,0,0,0,0,0,0,1,0,0,7,commercial,yes,2,service,50.0,12,14,0.10606060606060606
15,Location 16,45.3930637896606,9.15013222095038,"POLYGON ((9.146934196983732 45.39080286032821, 9.146934196983732 45.395324718992995, 9.15333024491703 45.395324718992995, 9.15333024491703 45.39080286032821, 9.146934196983732 45.39080286032821))",1,0.6402553999999999,0,0,0,0,0,0,8,0,0,0,1,0,0,1,residential,yes,1,service,61.30434782608695,11,11,0.1
16,Location 17,45.6500079673525,8.80839790130186,"POLYGON ((8.805185238780409 45.64774703802011, 8.805185238780409 45.652268896684895, 8.81161056382331 45.652268896684895, 8.81161056382331 45.64774703802011, 8.805185238780409 45.64774703802011))",1,1.6817666462093863,0,0,2,1,0,0,11,0,0,0,2,0,0,4,residential,yes,2,service,50.0,23,39,0.07707509881422925
17,Location 18,45.4422563231016,9.04696847777923,"POLYGON ((9.043767666540564 45.43999539376921, 9.043767666540564 45.444517252434, 9.050169289017894 45.444517252434, 9.050169289017894 45.43999539376921, 9.043767666540564 45.43999539376921))",1,0.12312345490196076,0,0,0,0,0,0,2,0,0,0,0,0,0,0,commercial,yes,1,service,,7,11,0.2619047619047619
18,Location 19,44.8255611421675,10.2096103215406,"POLYGON ((10.20644393739274 44.82330021283511, 10.20644393739274 44.827822071499895, 10.21277670568846 44.827822071499895, 10.21277670568846 44.82330021283511, 10.20644393739274 44.82330021283511))",1,2.929405878431372,0,0,0,1,0,0,5,0,0,0,0,0,0,0,residential,yes,2,residential,84.375,59,110,0.032144944476914086
19,Location 20,42.460214478762,12.4183118423288,"POLYGON ((12.415267736251472 42.457953549429604, 12.415267736251472 42.46247540809439, 12.421355948406127 42.46247540809439, 12.421355948406127 42.457953549429604, 12.415267736251472 42.457953549429604))",1,0.1660269999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Other,yes,2,unclassified,73.0,11,19,0.17272727272727273
