location,gpsLat,gpsLong
Location 1,45.09934203,7.708654993
Location 2,45.5584398861864,9.24029489212583
Location 3,45.5686020311218,9.36304684610199
Location 4,45.6277610515318,8.71249975733013
Location 5,41.9240785964876,12.516346882219
Location 6,43.68321857,10.43437685
Location 7,41.911629,12.4439452
Location 8,44.810031702133,10.286827741443
Location 9,45.5118679373017,9.28048191263696
Location 10,44.8473232,11.5979132
Location 11,45.5427892825392,9.18957908132117
Location 12,41.9578508559251,12.5479545040863
Location 13,45.4238615,11.873375
Location 14,45.5772057974587,9.06559138730712
Location 15,43.560201415122,13.5108636275027
Location 16,45.3930637896606,9.15013222095038
Location 17,45.6500079673525,8.80839790130186
Location 18,45.4422563231016,9.04696847777923
Location 19,44.8255611421675,10.2096103215406
Location 20,42.460214478762,12.4183118423288
Location 21,41.8794377369401,12.6709682036843
Location 22,44.8704541701007,10.0754476357731
Location 23,45.6716431542405,12.1759121309309
Location 24,44.907736,8.6362299
Location 25,44.4241604056818,12.231005499928
Location 26,45.046,9.74263888888889
Location 27,45.7188526145074,11.40818773035
Location 28,45.90523928,12.33474799
Location 29,41.6903055555555,15.3925277777778
Location 30,40.58148,17.11315
Location 31,41.9148955804917,12.3522324042998
Location 32,45.7691944444444,8.595
Location 33,41.5279788847282,12.6819765865068
Location 34,45.5534352466751,8.15063028616747
Location 35,44.8386944444444,8.18605555555555
Location 36,42.3366056889619,13.4611299409853
Location 37,44.4841080432498,7.87505469724417
Location 38,40.611355,15.729283
Location 39,45.8042277578826,12.8809576106778
Location 40,43.328693404477,11.5074118092531
Location 41,41.4144682,13.1707829
Location 42,42.9294977649138,11.2660666067337
Location 43,44.499556,7.493194
Location 44,44.728472,7.326139
Location 45,44.528111,8.050278
Location 46,44.4833333333333,11.4166666666667
Location 47,45.4867888888889,9.26396388888889
Location 48,45.7284916666667,8.49771111111111
Location 49,45.2448666666667,11.7594138888889
Location 50,45.5040444444445,12.2354722222222
Location 51,45.5666666666667,10.0
Location 52,44.7066805555556,10.6385305555555
Location 53,45.4090861111111,11.9185305555556
Location 54,44.7087972222222,10.6251972222222
Location 55,44.8184638888889,10.2866805555556
Location 56,45.3973611111111,11.9697333333333
Location 57,45.51005,11.4534305555555
Location 58,44.7287277777778,10.6511638888889
Location 59,44.3261888888889,11.9070833333333
Location 60,45.5030277777778,12.2354111111111
Location 61,45.4240961,11.9266731
Location 62,45.4833333333333,12.1166666666667
Location 63,45.4833333333333,12.1166666666667
Location 64,45.5104083333333,12.22195
Location 65,45.5182591,12.2339248
Location 66,45.3966166666667,10.9918944444444
Location 67,45.6524805555556,12.220275
Location 68,44.6761027777778,10.6018527777778
Location 69,44.6761027777778,10.6018527777778
Location 70,45.4670886,8.6231705
Location 71,44.5662027777778,11.3549333333333
Location 72,45.5502888888889,12.2947777777778
Location 73,44.8443333333333,11.6511638888889
Location 74,45.4091194444444,9.17494166666666
Location 75,44.7707555555556,10.7682722222222
Location 76,45.4833333333333,11.9
Location 77,45.7833333333333,12.5
Location 78,45.4450972222222,12.2047666666667
Location 79,45.7744222222222,12.8244333333333
Location 80,44.6727583333333,10.7020166666667
Location 81,45.5032666666667,12.2916083333333
Location 82,45.3666666666667,11.8333333333333
Location 83,45.5166666666667,12.1833333333333
Location 84,45.4492527777778,11.9881166666667
Location 85,44.0001799,12.5881299
Location 86,45.4,12.0166666666667
Location 87,44.8065833333333,10.8919
Location 88,45.4847708,11.9995564
Location 89,45.5342527777778,12.1811583333333
Location 90,45.7265111111111,8.44483888888889
Location 91,44.916025,9.91924722222222
Location 92,44.7753,10.7627027777778
Location 93,45.7821888888889,12.411675
Location 94,45.5278055555556,11.984275
Location 95,45.6520205,12.2203128
Location 96,44.1739527777778,12.2249083333333
Location 97,45.6817333333333,8.45666388888889
Location 98,45.4450514,12.0020165
Location 99,45.0,9.0
Location 100,45.6226222222222,12.5499777777778
Location 101,44.8542222222222,10.7386611111111
Location 102,44.9448833333333,9.74324166666667
Location 103,45.71665,11.99917
Location 104,45.2010666666667,9.19451111111111
Location 105,44.9078555555556,10.6583638888889
Location 106,44.56573,11.31953
Location 107,45.417875,12.0
Location 108,45.4454444444444,12.2055277777778
Location 109,45.6405666666667,12.5999361111111
Location 110,44.6108586,11.3008609
Location 111,44.9088694444444,11.0
Location 112,45.5666972222222,12.1717611111111
Location 113,45.6261205,11.9988321
Location 114,44.7221666666667,10.4730277777778
Location 115,45.6379666666667,12.3963527777778
Location 116,44.99742,9.73442
Location 117,45.220989,11.7085078
Location 118,45.3715567,10.9983083
Location 119,43.9166666666667,12.6333333333333
Location 120,44.5573499,10.9986799
Location 121,45.8091861111111,12.2497111111111
Location 122,45.7834861111111,12.5720083333333
Location 123,44.0999793,12.482677
Location 124,44.45,11.8666666666667
Location 125,43.7450416666667,13.1760027777778
Location 126,45.7663777777778,12.610925
Location 127,43.9152899,12.71801
Location 128,45.6782791,12.0001547
Location 129,44.9997899,9.30202
Location 130,45.70312,8.58353
Location 131,44.0,12.4818111111111
Location 132,45.7695333333333,13.64645
Location 133,45.0169868,11.7980126
