,chargerId,serialNumber,gpsLat,gpsLong,numberStacks,sessionLiveViewEnabled,doorContactSwitch_encoded,deadManSwitch_encoded,simActivated_encoded,isFavourite_encoded,AvailableSurroundingChargers_Count
109,6725,21BZ2764B,43.48079,13.59624,4,False,1,0,1,0,14
110,8897,22BZ0545B,44.96261,9.90443,4,False,1,0,1,0,57
112,20799,23BZ1510B,45.029393,11.701105,4,False,1,0,1,0,36
114,9726,22BZ0677B,42.03137331652554,11.962792231411816,4,False,1,0,1,0,25
115,16935,22BZ6970B,45.0420310709263,11.709231256806136,4,False,1,0,1,0,35
116,8112,21BZ3098B,44.51956,11.21367,4,False,1,0,1,0,44
117,17736,22BZ5331B,42.032747,11.953672,4,False,1,0,1,0,25
120,19517,23BZ1031B,41.068329,14.88722,4,False,1,0,1,0,21
122,76421,24BZ5266D,41.68599050937753,13.187538979556642,3,True,1,0,0,0,32
123,9838,22BZ0658B,45.729051,9.028446,4,False,1,0,1,0,46
124,83768,24BZ1708B,44.4277,11.6013,4,True,1,0,0,0,42
125,16934,22BZ6969B,44.116922,12.409015,4,False,1,0,1,0,29
126,11428,22BZ2240B,44.4278511,11.5986996,4,False,1,0,1,0,43
127,16946,22BZ6981B,44.59141,8.665706,4,False,1,0,1,0,46
128,17808,22BZ5323B,41.100521,16.753673,4,False,1,0,1,0,5
129,9837,22BZ0661B,44.87931,11.57073,4,False,1,0,1,0,35
131,6590,21BZ2727B,44.66229,10.85797,4,False,0,0,1,0,47
132,20809,23BZ1500B,46.182976,13.126373,4,False,1,0,1,0,7
133,10544,22BZ0685B,40.92668,14.78317,4,False,1,0,1,0,21
134,16944,22BZ6979B,44.6763717,8.6581214,4,False,1,0,1,0,49
136,12615,22BZ2234B,45.4616799,9.2765061,4,False,1,0,1,0,58
137,10584,22BZ1158B,45.76292,8.80962,4,False,1,0,1,0,41
138,16951,22BZ6986B,44.453754,11.280675,4,False,1,0,1,0,44
139,20798,23BZ1511B,46.49905823466896,13.37512094073765,4,False,1,0,1,0,3
141,8109,21BZ3095B,41.04907,14.3231,4,False,1,0,1,0,22
143,20804,23BZ1505B,45.517027,9.147218,4,False,1,0,1,0,55
144,9008,22BZ0556B,45.57416179644078,9.392527994720972,4,False,1,0,1,1,62
146,17734,22BZ5333B,42.8761818,12.0173079,4,False,1,0,1,0,41
148,9918,22BZ0676B,44.28766933773564,8.441119911448869,4,False,1,0,1,0,20
149,17815,22BZ5316B,45.14290767128583,9.634451384519403,4,False,1,0,1,0,63
150,9088,22BZ0656B,42.53072,14.12426,4,False,1,0,1,0,16
151,6708,21BZ2782B,42.49927,12.31106,4,False,0,0,1,0,36
152,8111,21BZ3097B,44.51957,11.21374,4,False,1,0,1,0,44
153,6724,21BZ2765B,45.321012,9.375258,4,False,1,0,1,0,63
154,17735,22BZ5332B,42.868913,12.026451,4,False,1,0,1,0,41
155,20790,23BZ1519B,42.364143,12.4788065,4,False,1,0,1,0,32
156,8114,21BZ3100B,41.23408,14.09174,4,False,1,0,1,0,22
159,9010,22BZ0558B,45.32151,9.37723,4,False,1,0,1,0,63
163,9219,22BZ0552B,43.62697,13.33516,4,False,1,0,1,0,12
164,17812,22BZ5319B,44.62261139860479,11.41988490594841,4,False,1,0,1,0,43
165,16948,22BZ6983B,45.613064,8.720427,4,False,1,0,1,0,42
166,19532,23BZ1046B,44.821237,10.377416,4,False,1,0,1,0,43
167,16933,22BZ6968B,44.589635,8.664777,4,False,1,0,1,0,46
168,16950,22BZ6985B,44.609688,8.661311,4,False,1,0,1,0,46
169,10539,22BZ0680B,41.918249,15.180058,4,False,1,0,1,0,20
170,8933,22BZ0547B,45.07462,8.51099,4,False,1,0,1,0,51
171,19523,23BZ1037B,44.827259,10.37933,4,False,1,0,1,0,42
175,13424,22BZ3007B,44.428896,11.6002905,4,False,1,0,1,0,42
176,17820,22BZ5311B,40.872321,14.283121,4,False,1,0,1,0,16
177,17817,22BZ5314B,40.889277,14.3178,4,False,1,0,1,0,18
179,16949,22BZ6984B,45.14232079789667,9.632879063429876,4,False,1,0,1,0,63
181,13443,22BZ3004B,44.393273,9.046552,4,False,1,0,1,0,33
186,13421,22BZ3010B,41.06670928675303,15.315971667173134,4,False,1,0,1,0,22
187,10583,22BZ1156B,45.76241,8.81087,4,False,1,0,1,0,42
188,83756,24BZ1696B,43.0941,11.7806,4,True,1,0,0,0,34
191,9087,22BZ0655B,42.5483537,14.1012901,4,False,1,0,1,0,16
192,13420,22BZ3011B,45.676823,12.172375,4,False,1,0,1,0,11
193,10268,22BZ0679B,43.8318004140493,11.160087277850982,4,False,1,0,1,0,49
194,12616,22BZ2235B,45.4616799,9.2765061,4,False,1,0,1,0,59
196,17738,22BZ5329B,42.87650230358312,12.017141551638364,4,False,1,0,1,0,41
198,10548,22BZ0689B,42.53174922101295,14.124406425212973,4,False,1,0,1,0,16
200,9844,22BZ0673B,45.773998,9.04934,4,False,1,0,1,0,47
201,19746,23BZ0053B,45.5756,9.0086,4,False,1,0,1,0,56
202,19743,23BZ0056B,42.36412917089691,12.478752310868412,4,False,1,0,1,0,32
205,10546,22BZ0687B,40.92666,14.78311,4,False,1,0,1,0,21
207,19525,23BZ1039B,43.652973,13.32744,4,False,1,0,1,0,12
208,8118,21BZ3104B,44.51834,11.21432,4,False,1,0,1,0,44
212,17739,22BZ5328B,41.686012834348304,13.187509256904688,4,False,1,0,1,0,32
213,16945,22BZ6980B,41.105972,16.692888,4,False,1,0,1,0,5
214,13441,22BZ3001B,44.96296017659537,9.906183880356323,4,False,1,0,1,0,57
215,17423,22BZ5354B,41.497747210987065,13.684203241919125,4,False,1,0,1,0,22
216,8110,21BZ3096B,45.57585,9.39382,4,False,1,0,1,0,63
219,17807,22BZ5324B,43.4050125,11.7649416,4,False,1,0,1,0,33
220,17422,22BZ5355B,41.8498347,12.7328198,4,False,1,0,1,0,31
222,17816,22BZ5315B,42.316788,12.492107,4,False,1,0,1,0,32
224,10538,22BZ0678B,41.25078,16.21886,4,False,1,0,1,0,11
229,19520,23BZ1034B,44.15121060750389,11.193671191410036,4,False,1,0,1,0,49
231,19530,23BZ1044B,44.45620200747712,11.279479255591484,4,False,1,0,1,0,45
234,9841,22BZ0668B,45.32147,9.37718,4,False,1,0,1,0,64
235,20807,23BZ1503B,45.63385426728856,9.600788152862714,4,False,1,0,1,0,51
237,9836,22BZ0663B,45.60832003095096,12.297277564364082,4,False,1,0,1,0,14
